iter	Passed	Remaining
407	4917	7135
408	4928	7121
409	4939	7107
410	4950	7094
411	4960	7079
412	4972	7067
413	4984	7055
414	4996	7043
415	5007	7029
416	5019	7017
417	5031	7005
418	5040	6989
419	5051	6976
420	5063	6963
421	5074	6950
422	5086	6937
423	5099	6926
424	5109	6913
425	5121	6901
426	5133	6888
427	5143	6874
428	5153	6859
429	5166	6848
430	5177	6835
431	5189	6822
432	5200	6810
433	5211	6796
434	5223	6784
435	5234	6771
436	5245	6757
437	5255	6743
438	5267	6731
439	5278	6718
440	5289	6704
441	5300	6691
442	5311	6677
443	5323	6666
444	5335	6654
445	5347	6642
446	5358	6628
447	5368	6614
448	5378	6600
449	5388	6586
450	5400	6573
451	5411	6560
452	5421	6546
453	5434	6535
454	5444	6521
455	5455	6508
456	5466	6495
457	5477	6481
458	5487	6468
459	5499	6455
460	5510	6442
461	5520	6428
462	5531	6415
463	5544	6404
464	5554	6391
465	5566	6378
466	5578	6366
467	5590	6355
468	5601	6341
469	5611	6328
470	5623	6315
471	5633	6302
472	5646	6291
473	5657	6278
474	5668	6265
475	5679	6252
476	5689	6238
477	5700	6225
478	5712	6213
479	5724	6201
480	5735	6189
481	5745	6174
482	5757	6162
483	5767	6149
484	5778	6136
485	5789	6123
486	5801	6110
487	5812	6098
488	5824	6086
489	5835	6073
490	5845	6060
491	5856	6047
492	5868	6034
493	5878	6021
494	5891	6010
495	5902	5997
496	5913	5984
497	5939	5987
498	5950	5974
499	5961	5961
500	5973	5949
501	5983	5936
502	5993	5922
503	6006	5911
504	6019	5899
505	6030	5887
506	6041	5874
507	6053	5862
508	6063	5849
509	6074	5836
510	6085	5823
511	6095	5810
512	6108	5798
513	6119	5786
514	6131	5774
515	6141	5760
516	6153	5748
517	6164	5735
518	6175	5723
519	6188	5712
520	6200	5700
521	6211	5688
522	6222	5674
523	6232	5661
524	6243	5648
525	6254	5636
526	6266	5624
527	6277	5611
528	6287	5598
529	6298	5585
530	6308	5571
531	6318	5558
532	6329	5545
533	6339	5532
534	6351	5520
535	6362	5508
536	6373	5495
537	6386	5484
538	6397	5471
539	6410	5460
540	6420	5447
541	6432	5435
542	6445	5424
543	6455	5411
544	6468	5400
545	6478	5387
546	6488	5373
547	6500	5361
548	6512	5349
549	6524	5337
550	6534	5325
551	6546	5313
552	6557	5300
553	6568	5287
554	6578	5274
555	6589	5262
556	6600	5249
557	6612	5237
558	6623	5224
559	6634	5212
560	6646	5201
561	6657	5188
562	6668	5175
563	6679	5163
564	6690	5150
565	6701	5138
566	6712	5126
567	6722	5113
568	6733	5100
569	6743	5087
570	6755	5075
571	6765	5062
572	6776	5050
573	6787	5037
574	6798	5025
575	6810	5013
576	6821	5000
577	6832	4988
578	6843	4976
579	6854	4963
580	6865	4951
581	6876	4938
582	6889	4927
583	6899	4914
584	6910	4902
585	6921	4890
586	6932	4877
587	6943	4865
588	6955	4853
589	6965	4840
590	6977	4828
591	6988	4816
592	6998	4803
593	7009	4791
594	7021	4779
595	7031	4766
596	7042	4754
597	7053	4741
598	7063	4728
599	7076	4717
600	7088	4705
601	7098	4693
602	7110	4681
603	7121	4669
604	7133	4657
605	7142	4644
606	7155	4632
607	7167	4620
608	7177	4608
609	7189	4596
610	7201	4585
611	7212	4572
612	7224	4560
613	7235	4548
614	7246	4536
615	7256	4523
616	7268	4511
617	7280	4500
618	7291	4487
619	7302	4475
620	7312	4463
621	7324	4451
622	7336	4439
623	7347	4427
624	7359	4415
625	7370	4403
626	7381	4391
627	7392	4379
628	7404	4367
629	7414	4354
630	7426	4343
631	7437	4330
632	7449	4318
633	7460	4306
634	7470	4294
635	7483	4283
636	7495	4271
